TiSId;Índice;Ticker;Data;Cotação
62;MSCI All Countries;MXWD Index;16/04/2018;1756,71596
62;MSCI All Countries;MXWD Index;13/04/2018;1740,27012
62;MSCI All Countries;MXWD Index;12/04/2018;1731,38776
62;MSCI All Countries;MXWD Index;11/04/2018;1725,95562
62;MSCI All Countries;MXWD Index;10/04/2018;1750,52087
62;MSCI All Countries;MXWD Index;09/04/2018;1718,34832
62;MSCI All Countries;MXWD Index;06/04/2018;1690,99456
62;MSCI All Countries;MXWD Index;05/04/2018;1692,05455
62;MSCI All Countries;MXWD Index;04/04/2018;1687,27844
62;MSCI All Countries;MXWD Index;03/04/2018;1665,5758
62;MSCI All Countries;MXWD Index;02/04/2018;1655,68789
62;MSCI All Countries;MXWD Index;30/03/2018;1672,45283
62;MSCI All Countries;MXWD Index;29/03/2018;1669,67083
62;MSCI All Countries;MXWD Index;28/03/2018;1675,05185
62;MSCI All Countries;MXWD Index;27/03/2018;1678,05977
62;MSCI All Countries;MXWD Index;26/03/2018;1675,30351
62;MSCI All Countries;MXWD Index;23/03/2018;1650,74526
62;MSCI All Countries;MXWD Index;22/03/2018;1678,49149
62;MSCI All Countries;MXWD Index;21/03/2018;1696,56376
62;MSCI All Countries;MXWD Index;20/03/2018;1707,40385
62;MSCI All Countries;MXWD Index;19/03/2018;1698,6049
62;MSCI All Countries;MXWD Index;16/03/2018;1715,96234
62;MSCI All Countries;MXWD Index;15/03/2018;1720,76
62;MSCI All Countries;MXWD Index;14/03/2018;1704,12845
62;MSCI All Countries;MXWD Index;13/03/2018;1711,91907
62;MSCI All Countries;MXWD Index;12/03/2018;1720,4578
62;MSCI All Countries;MXWD Index;09/03/2018;1709,95436
62;MSCI All Countries;MXWD Index;08/03/2018;1694,56919
62;MSCI All Countries;MXWD Index;07/03/2018;1677,96375
62;MSCI All Countries;MXWD Index;06/03/2018;1663,49511
62;MSCI All Countries;MXWD Index;05/03/2018;1673,141
62;MSCI All Countries;MXWD Index;02/03/2018;1665,17252
62;MSCI All Countries;MXWD Index;01/03/2018;1665,37826
62;MSCI All Countries;MXWD Index;28/02/2018;1679,76787
62;MSCI All Countries;MXWD Index;27/02/2018;1697,5303
62;MSCI All Countries;MXWD Index;26/02/2018;1710,42206
62;MSCI All Countries;MXWD Index;23/02/2018;1696,78415
62;MSCI All Countries;MXWD Index;22/02/2018;1684,00104
62;MSCI All Countries;MXWD Index;21/02/2018;1688,66035
62;MSCI All Countries;MXWD Index;20/02/2018;1689,07711
62;MSCI All Countries;MXWD Index;19/02/2018;1688,36618
62;MSCI All Countries;MXWD Index;16/02/2018;1677,28342
